organisation,wikidata,name,website,statistical-geography,toid,opendatacommunities,esd-inventories,start-date,end-date
government-organisation:OT1268,,UK Council for Internet Safety,https://www.gov.uk/government/organisations/uk-council-for-internet-safety,,,,,,
government-organisation:OT152,,Industrial Development Advisory Board,https://www.gov.uk/government/organisations/industrial-development-advisory-board,,,,,,
government-organisation:OT204,,Agriculture and Horticulture Development Board,https://www.gov.uk/government/organisations/agriculture-and-horticulture-development-board,,,,,,
government-organisation:OT205,,Sea Fish Industry Authority,https://www.gov.uk/government/organisations/sea-fish-industry-authority,,,,,,
government-organisation:OT214,,Covent Garden Market Authority,https://www.gov.uk/government/organisations/covent-garden-market-authority,,,,,,
government-organisation:OT216,,Broads Authority,https://www.gov.uk/government/organisations/broads-authority,,,,,,
government-organisation:OT217,,Dartmoor National Park Authority,https://www.gov.uk/government/organisations/dartmoor-national-park-authority,,,,,,
government-organisation:OT219,,Exmoor National Park Authority,https://www.gov.uk/government/organisations/exmoor-national-park-authority,,,,,,
government-organisation:OT220,,Lake District National Park Authority,https://www.gov.uk/government/organisations/lake-district-national-park-authority,,,,,,
government-organisation:OT222,,New Forest National Park Authority,https://www.gov.uk/government/organisations/new-forest-national-park-authority,,,,,,
government-organisation:OT223,,North York Moors National Park Authority,https://www.gov.uk/government/organisations/north-york-moors-national-park,,,,,,
government-organisation:OT237,,National Employment Savings Trust (NEST) Corporation,https://www.gov.uk/government/organisations/national-employment-savings-trust,,,,,,
government-organisation:OT248,,Air Accidents Investigation Branch,https://www.gov.uk/government/organisations/air-accidents-investigation-branch,,,,,,
government-organisation:OT249,,Rail Accident Investigation Branch,https://www.gov.uk/government/organisations/rail-accident-investigation-branch,,,,,,
government-organisation:OT261,,Office of Tax Simplification,https://www.gov.uk/government/organisations/office-of-tax-simplification,,,,,,
government-organisation:OT269,,Equality and Human Rights Commission,https://www.gov.uk/government/organisations/equality-and-human-rights-commission,,,,,,
government-organisation:OT281,,HM Inspectorate of Constabulary and Fire & Rescue Services,https://www.gov.uk/government/organisations/hm-inspectorate-of-constabulary-and-fire-rescue-services,,,,,,
government-organisation:OT284,,Independent Chief Inspector of Borders and Immigration,https://www.gov.uk/government/organisations/independent-chief-inspector-of-borders-and-immigration,,,,,,
government-organisation:OT304,,The Security Service,https://www.gov.uk/government/organisations/the-security-service-mi5,,,,,,
government-organisation:OT305,,Secret Intelligence Service,https://www.gov.uk/government/organisations/secret-intelligence-service,,,,,,
government-organisation:OT306,,Government Communications Headquarters,https://www.gov.uk/government/organisations/government-communications-headquarters,,,,,,
government-organisation:OT313,,British Council,https://www.gov.uk/government/organisations/british-council,,,,,,
government-organisation:OT315,,Marshall Aid Commemoration Commission,https://www.gov.uk/government/organisations/marshall-aid-commemoration-commission,,,,,,
government-organisation:OT316,,Westminster Foundation for Democracy,https://www.gov.uk/government/organisations/westminster-foundation-for-democracy,,,,,,
government-organisation:OT328,,Official Solicitor and Public Trustee,https://www.gov.uk/government/organisations/official-solicitor-and-public-trustee,,,,,,
government-organisation:OT342,,Privy Council Office,https://www.gov.uk/government/organisations/privy-council-office,,,,,,
government-organisation:OT347,,HM Crown Prosecution Service Inspectorate,https://www.gov.uk/government/organisations/hm-crown-prosecution-service-inspectorate,,,,,,
government-organisation:OT360,,UK Green Investment Bank,https://www.gov.uk/government/organisations/uk-green-investment-bank,,,,,,
government-organisation:OT385,,Ofcom,https://www.gov.uk/government/organisations/ofcom,,,,,,
government-organisation:OT404,,Service Complaints Commissioner,https://www.gov.uk/government/organisations/service-complaints-commissioner,,,,,,2016-01
government-organisation:OT405,,Defence Academy of the United Kingdom,https://www.gov.uk/government/organisations/defence-academy,,,,,,
government-organisation:OT406,,Service Prosecuting Authority,https://www.gov.uk/government/organisations/service-prosecuting-authority,,,,,,
government-organisation:OT408,,"Defence, Press and Broadcasting Advisory Committee",https://www.gov.uk/government/organisations/defence-press-and-broadcasting-advisory-committee,,,,,,
government-organisation:OT409,,Royal Navy Submarine Museum,https://www.gov.uk/government/organisations/royal-navy-submarine-museum,,,,,,
government-organisation:OT411,,Defence Sixth Form College,https://www.gov.uk/government/organisations/defence-sixth-form-college,,,,,,
government-organisation:OT425,,Drinking Water Inspectorate,https://www.gov.uk/government/organisations/drinking-water-inspectorate,,,,,,
government-organisation:OT428,,Boundary Commission for Northern Ireland,https://www.gov.uk/government/organisations/boundary-commission-for-northern-ireland,,,,,,
government-organisation:OT429,,Northern Ireland Human Rights Commission,https://www.gov.uk/government/organisations/northern-ireland-human-rights-commission,,,,,,
government-organisation:OT430,,Parades Commission for Northern Ireland,https://www.gov.uk/government/organisations/parades-commission-for-northern-ireland,,,,,,
government-organisation:OT431,,Boundary Commission for Scotland,https://www.gov.uk/government/organisations/boundary-commission-for-scotland,,,,,,
government-organisation:OT432,,Boundary Commission for Wales,https://www.gov.uk/government/organisations/boundary-commission-for-wales,,,,,,
government-organisation:OT433,,The Adjudicator’s Office,https://www.gov.uk/government/organisations/the-adjudicator-s-office,,,,,,
government-organisation:OT444,,"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms",https://www.gov.uk/government/organisations/independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms,,,,,,
government-organisation:OT483,,Health Research Authority,https://www.gov.uk/government/organisations/health-research-authority,,,,,,
government-organisation:OT484,,NHS Trust Development Authority,https://www.gov.uk/government/organisations/nhs-trust-development-authority,,,,,,
government-organisation:OT486,,NHS Blood and Transplant,https://www.gov.uk/government/organisations/nhs-blood-and-transplant,,,,,,
government-organisation:OT488,,NHS Resolution,https://www.gov.uk/government/organisations/nhs-litigation-authority,,,,,,
government-organisation:OT492,,Chevening Scholarship Programme,https://www.gov.uk/government/organisations/chevening-foundation,,,,,,
government-organisation:OT494,,Airports Commission,https://www.gov.uk/government/organisations/airports-commission,,,,,,2015-07
government-organisation:OT495,,Defence Equipment and Support,https://www.gov.uk/government/organisations/defence-equipment-and-support,,,,,,
government-organisation:OT496,,Defence Infrastructure Organisation,https://www.gov.uk/government/organisations/defence-infrastructure-organisation,,,,,,
government-organisation:OT498,,Joint Forces Command,https://www.gov.uk/government/organisations/joint-forces-command,,,,,,
government-organisation:OT502,,Office for Life Sciences,https://www.gov.uk/government/organisations/office-for-life-sciences,,,,,,
government-organisation:OT504,,Chief Fire and Rescue Adviser,https://www.gov.uk/government/organisations/chief-fire-and-rescue-adviser-unit,,,,,,
government-organisation:OT505,,National security and intelligence,https://www.gov.uk/government/organisations/national-security,,,,,,
government-organisation:OT506,,Government Equalities Office,https://www.gov.uk/government/organisations/government-equalities-office,,,,,,
government-organisation:OT507,,Efficiency and Reform Group,https://www.gov.uk/government/organisations/efficiency-and-reform-group,,,,,,
government-organisation:OT511,,Independent Reviewer of Terrorism Legislation,https://www.gov.uk/government/organisations/independent-reviewer-of-terrorism-legislation,,,,,,
government-organisation:OT512,,Intelligence Services Commissioner,https://www.gov.uk/government/organisations/intelligence-services-commissioner,,,,,,
government-organisation:OT513,,Interception of Communications Commissioner,https://www.gov.uk/government/organisations/interception-of-communications-commissioner,,,,,,
government-organisation:OT514,,Office for Low Emission Vehicles,https://www.gov.uk/government/organisations/office-for-low-emission-vehicles,,,,,,
government-organisation:OT515,,Office of the Parliamentary Counsel,https://www.gov.uk/government/organisations/office-of-the-parliamentary-counsel,,,,,,
government-organisation:OT517,,Commissioner for Public Appointments,https://www.gov.uk/government/organisations/commissioner-for-public-appointments,,,,,,
government-organisation:OT518,,The McKay Commission,https://www.gov.uk/government/organisations/mckay-commission,,,,,,2013-03-25
government-organisation:OT519,,The Parliamentary and Health Service Ombudsman,https://www.gov.uk/government/organisations/the-parliamentary-and-health-service-ombudsman,,,,,,
government-organisation:OT520,,Behavioural Insights Team,https://www.gov.uk/government/organisations/behavioural-insights-team,,,,,,2014-02-05
government-organisation:OT522,,Advisory Committee on Clinical Excellence Awards,https://www.gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards,,,,,,
government-organisation:OT529,,NHS Business Services Authority,https://www.gov.uk/government/organisations/nhs-business-services-authority,,,,,,
government-organisation:OT532,,"Prime Minister's Office, 10 Downing Street",https://www.gov.uk/government/organisations/prime-ministers-office-10-downing-street,,,,,,
government-organisation:OT533,,Broadmoor Hospital investigation,https://www.gov.uk/government/organisations/investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital,,,,,,
government-organisation:OT535,,Border Force,https://www.gov.uk/government/organisations/border-force,,,,,,
government-organisation:OT536,,Forensic Science Regulator,https://www.gov.uk/government/organisations/forensic-science-regulator,,,,,,
government-organisation:OT537,,Deputy Prime Minister's Office,https://www.gov.uk/government/organisations/deputy-prime-ministers-office,,,,,,2015-05-08
government-organisation:OT538,,Health and Social Care Information Centre,https://www.gov.uk/government/organisations/health-and-social-care-information-centre,,,,,,
government-organisation:OT539,,Health Education England,https://www.gov.uk/government/organisations/health-education-england,,,,,,
government-organisation:OT540,,Infrastructure UK,https://www.gov.uk/government/organisations/infrastructure-uk,,,,,,2016-01-01
government-organisation:OT543,,Northumberland National Park Authority,https://www.gov.uk/government/organisations/northumberland-national-park-authority,,,,,,
government-organisation:OT545,,Peak District National Park Authority,https://www.gov.uk/government/organisations/peak-district-national-park,,,,,,
government-organisation:OT546,,South Downs National Park Authority,https://www.gov.uk/government/organisations/south-downs-national-park-authority,,,,,,
government-organisation:OT547,,Yorkshire Dales National Park Authority,https://www.gov.uk/government/organisations/yorkshire-dales-national-park-authority,,,,,,
government-organisation:OT548,,Biometrics Commissioner,https://www.gov.uk/government/organisations/biometrics-commissioner,,,,,,
government-organisation:OT549,,Government Estates Management,https://www.gov.uk/government/organisations/government-estates-management,,,,,,
government-organisation:OT551,,Groceries Code Adjudicator,https://www.gov.uk/government/organisations/groceries-code-adjudicator,,,,,,
government-organisation:OT552,,Surveillance Camera Commissioner,https://www.gov.uk/government/organisations/surveillance-camera-commissioner,,,,,,
government-organisation:OT553,,Office of the Regulator of Community Interest Companies,https://www.gov.uk/government/organisations/office-of-the-regulator-of-community-interest-companies,,,,,,
government-organisation:OT554,,UK Visas and Immigration,https://www.gov.uk/government/organisations/uk-visas-and-immigration,,,,,,
government-organisation:OT555,,Government Office for Science,https://www.gov.uk/government/organisations/government-office-for-science,,,,,,
government-organisation:OT557,,Export Control Joint Unit,https://www.gov.uk/government/organisations/export-control-organisation,,,,,,
government-organisation:OT559,,Healthcare UK,https://www.gov.uk/government/organisations/healthcare-uk,,,,,,
government-organisation:OT563,,CESG,https://www.gov.uk/government/organisations/cesg,,,,,,
government-organisation:OT564,,Bona Vacantia,https://www.gov.uk/government/organisations/bona-vacantia,,,,,,
government-organisation:OT565,,Morecambe Bay Investigation,https://www.gov.uk/government/organisations/morecambe-bay-investigation,,,,,,
government-organisation:OT566,,Open Public Services,https://www.gov.uk/government/organisations/open-public-services,,,,,,
government-organisation:OT567,,Centre for the Protection of National Infrastructure,https://www.gov.uk/government/organisations/centre-for-the-protection-of-national-infrastructure,,,,,,
government-organisation:OT569,,Better Regulation Delivery Office,https://www.gov.uk/government/organisations/better-regulation-delivery-office,,,,,,
government-organisation:OT572,,Wave Hub,https://www.gov.uk/government/organisations/wave-hub,,,,,,
government-organisation:OT579,,Independent Case Examiner,https://www.gov.uk/government/organisations/independent-case-examiner,,,,,,
government-organisation:OT581,,Queen's Harbour Master,https://www.gov.uk/government/organisations/queens-harbour-master,,,,,,
government-organisation:OT588,,Firearms Consultative Committee,https://www.gov.uk/government/organisations/firearms-consultative-committee,,,,,,2004-01-31
government-organisation:OT589,,Animal Procedures Committee,https://www.gov.uk/government/organisations/animal-procedures-committee,,,,,,2012-12
government-organisation:OT590,,Welsh Office,https://www.gov.uk/government/organisations/welsh-office,,,,,,1999-07-01
government-organisation:OT592,,Monopolies and Mergers Commission,https://www.gov.uk/government/organisations/monopolies-and-mergers-commission,,,,,,1999-04-01
government-organisation:OT593,,Royal Commission on Criminal Justice,https://www.gov.uk/government/organisations/royal-commission-on-criminal-justice,,,,,,1993
government-organisation:OT594,,Board of Inland Revenue,https://www.gov.uk/government/organisations/board-of-inland-revenue,,,,,,
government-organisation:OT596,,Victoria Climbié Inquiry,https://www.gov.uk/government/organisations/victoria-climbi_-inquiry,,,,,,2003-01-28
government-organisation:OT597,,Shipman Inquiry,https://www.gov.uk/government/organisations/shipman-inquiry,,,,,,2005-01-27
government-organisation:OT599,,Kerr / Haslam Inquiry,https://www.gov.uk/government/organisations/kerr-haslam-inquiry,,,,,,2005-07-18
government-organisation:OT600,,Office of the Legal Services Complaints Commissioner,https://www.gov.uk/government/organisations/office-of-the-legal-services-complaints-commissioner,,,,,,
government-organisation:OT604,,Review Body for Nursing and Other Health Professions,https://www.gov.uk/government/organisations/review-body-for-nursing-and-other-health-professions,,,,,,
government-organisation:OT606,,Royal Commission on Environmental Pollution,https://www.gov.uk/government/organisations/royal-commission-on-environmental-pollution,,,,,,2011-04-01
government-organisation:OT610,,Office for Criminal Justice Reform,https://www.gov.uk/government/organisations/office-for-criminal-justice-reform,,,,,,
government-organisation:OT612,,Scottish Law Commission,https://www.gov.uk/government/organisations/scottish-law-commission,,,,,,
government-organisation:OT614,,Statistics Commission,https://www.gov.uk/government/organisations/statistics-commission,,,,,,2008-04-01
government-organisation:OT615,,Independent Monitoring Commission,https://www.gov.uk/government/organisations/independent-monitoring-commission,,,,,,2011
government-organisation:OT616,,Independent Review of the UK Postal Services Sector,https://www.gov.uk/government/organisations/independent-review-of-the-uk-postal-services-sector,,,,,,2008-12
government-organisation:OT618,,Office of HM Paymaster General,https://www.gov.uk/government/organisations/office-of-hm-paymaster-general,,,,,,2008-04-01
government-organisation:OT619,,Independent Review of Police Officer and Staff Remuneration and Conditions,https://www.gov.uk/government/organisations/independent-review-of-police-officer-and-staff-remuneration-and-conditions,,,,,,
government-organisation:OT622,,Royal Liverpool Childrens Inquiry,https://www.gov.uk/government/organisations/royal-liverpool-childrens-inquiry,,,,,,2001-01-30
government-organisation:OT626,,Gaming Board for Great Britain,https://www.gov.uk/government/organisations/gaming-board-for-great-britain,,,,,,2007-09-01
government-organisation:OT627,,Public Accounts Commission,https://www.gov.uk/government/organisations/public-accounts-commission,,,,,,
government-organisation:OT628,,Derby North East Education Action Zone,https://www.gov.uk/government/organisations/derby-north-east-education-action-zone,,,,,,2005-04-16
government-organisation:OT629,,National Care Standards Commission,https://www.gov.uk/government/organisations/national-care-standards-commission,,,,,,2004-04-01
government-organisation:OT632,,Kitts Green and Shard End Education Action Zone,https://www.gov.uk/government/organisations/kitts-green-and-shard-end-education-action-zone,,,,,,
government-organisation:OT634,,Northern Ireland Audit Office,https://www.gov.uk/government/organisations/northern-ireland-audit-office,,,,,,
government-organisation:OT635,,Equitable Life Inquiry,https://www.gov.uk/government/organisations/equitable-life-inquiry,,,,,,2000-12
government-organisation:OT636,,Office of the Police Ombudsman for Northern Ireland,https://www.gov.uk/government/organisations/office-of-the-police-ombudsman-for-northern-ireland,,,,,,
government-organisation:OT637,,Greenwich Education Action Zone,https://www.gov.uk/government/organisations/greenwich-education-action-zone,,,,,,2004-09-05
government-organisation:OT638,,Wolverhampton Education Action Zone,https://www.gov.uk/government/organisations/wolverhampton-education-action-zone,,,,,,2005-01-09
government-organisation:OT639,,Wednesbury Education Action Zone,https://www.gov.uk/government/organisations/wednesbury-education-action-zone,,,,,,2004-11-30
government-organisation:OT640,,Bolton Education Action Zone,https://www.gov.uk/government/organisations/bolton-education-action-zone,,,,,,
government-organisation:OT641,,Hamilton Oxford Education Action Zone,https://www.gov.uk/government/organisations/hamilton-oxford-education-action-zone,,,,,,2004-09-06
government-organisation:OT642,,Scottish Screen,https://www.gov.uk/government/organisations/scottish-screen,,,,,,2010-07-01
government-organisation:OT643,,Dudley Education Action Zone,https://www.gov.uk/government/organisations/dudley-education-action-zone,,,,,,2004-11-30
government-organisation:OT644,,"Northern Ireland Council for the Curriculum, Examinations and Assessment",https://www.gov.uk/government/organisations/northern-ireland-council-for-the-curriculum-examinations-and-assessment,,,,,,
government-organisation:OT645,,Westminster Education Action Zone,https://www.gov.uk/government/organisations/westminster-education-action-zone,,,,,,2005-04-30
government-organisation:OT646,,North East Derbyshire Coalfields Education Action Zone,https://www.gov.uk/government/organisations/north-east-derbyshire-coalfields-education-action-zone,,,,,,2004-11-30
government-organisation:OT647,,Telford and Wrekin Education Action Zone,https://www.gov.uk/government/organisations/telford-and-wrekin-education-action-zone,,,,,,2004-11-30
government-organisation:OT648,,Withernsea and Southern Holderness Education Action Zone,https://www.gov.uk/government/organisations/withernsea-and-southern-holderness-education-action-zone,,,,,,2005-01-09
government-organisation:OT649,,Northern Ireland Policing Board,https://www.gov.uk/government/organisations/northern-ireland-policing-board,,,,,,
government-organisation:OT650,,Easington and Seaham Education Action Zone,https://www.gov.uk/government/organisations/easington-and-seaham-education-action-zone,,,,,,2005-01-09
government-organisation:OT651,,North Islington Education Action Zone,https://www.gov.uk/government/organisations/north-islington-education-action-zone,,,,,,2004-11-30
government-organisation:OT652,,Stoke Education Action Zone,https://www.gov.uk/government/organisations/stoke-education-action-zone,,,,,,2005-01-09
government-organisation:OT653,,Sunderland Education Action Zone,https://www.gov.uk/government/organisations/sunderland-education-action-zone,,,,,,2005-01-09
government-organisation:OT654,,Peterlee Education Action Zone,https://www.gov.uk/government/organisations/peterlee-education-action-zone,,,,,,2005-01-09
government-organisation:OT655,,Southend Education Action Zone,https://www.gov.uk/government/organisations/southend-education-action-zone,,,,,,2004-11-30
government-organisation:OT657,,Police Service of Northern Ireland,https://www.gov.uk/government/organisations/police-service-of-northern-ireland,,,,,,
government-organisation:OT658,,"National Endowment for Science, Technology and the Arts",https://www.gov.uk/government/organisations/national-endowment-for-science-technology-and-the-arts,,,,,,
government-organisation:OT659,,Probation Board for Northern Ireland,https://www.gov.uk/government/organisations/probation-board-for-northern-ireland,,,,,,
government-organisation:OT661,,Parliamentary Contributory Pension Fund,https://www.gov.uk/government/organisations/parliamentary-contributory-pension-fund,,,,,,
government-organisation:OT662,,Bedford Education Action Zone,https://www.gov.uk/government/organisations/bedford-education-action-zone,,,,,,
government-organisation:OT663,,Leigh Park Education Action Zone,https://www.gov.uk/government/organisations/leigh-park-education-action-zone,,,,,,2005-01-09
government-organisation:OT664,,Downham and Bellingham Education Action Zone,https://www.gov.uk/government/organisations/downham-and-bellingham-education-action-zone,,,,,,2005-01-09
government-organisation:OT665,,Corby Education Action Zone,https://www.gov.uk/government/organisations/corby-education-action-zone,,,,,,
government-organisation:OT666,,Bristol Education Action Zone,https://www.gov.uk/government/organisations/bristol-education-action-zone,,,,,,
government-organisation:OT667,,North West Shropshire Education Action Zone,https://www.gov.uk/government/organisations/north-west-shropshire-education-action-zone,,,,,,2005-04-02
government-organisation:OT668,,Wythenshawe Education Action Zone,https://www.gov.uk/government/organisations/wythenshawe-education-action-zone,,,,,,2004-11-30
government-organisation:OT669,,Ellesmere Port Education Action Zone,https://www.gov.uk/government/organisations/ellesmere-port-education-action-zone,,,,,,2005-01-09
government-organisation:OT670,,"Camborne, Pool and Redruth Education Action Zone",https://www.gov.uk/government/organisations/camborne-pool-and-redruth-education-action-zone,,,,,,
government-organisation:OT671,,Coventry Education Action Zone,https://www.gov.uk/government/organisations/coventry-education-action-zone,,,,,,
government-organisation:OT672,,North Gillingham Education Action Zone,https://www.gov.uk/government/organisations/north-gillingham-education-action-zone,,,,,,2005-01-09
government-organisation:OT673,,Gloucester Education Action Zone,https://www.gov.uk/government/organisations/gloucester-education-action-zone,,,,,,2005-01-09
government-organisation:OT674,,East Manchester Education Action Zone,https://www.gov.uk/government/organisations/east-manchester-education-action-zone,,,,,,2004-11-30
government-organisation:OT676,,Commission for Racial Equality,https://www.gov.uk/government/organisations/commission-for-racial-equality,,,,,,2007-10-01
government-organisation:OT677,,Clacton and Harwich Education Action Zone,https://www.gov.uk/government/organisations/clacton-and-harwich-education-action-zone,,,,,,
government-organisation:OT678,,Hackney Education Action Zone,https://www.gov.uk/government/organisations/hackney-education-action-zone,,,,,,2004-11-30
government-organisation:OT679,,Hastings and St Leonards Education Action Zone,https://www.gov.uk/government/organisations/hastings-and-st-leonards-education-action-zone,,,,,,2004-11-30
government-organisation:OT680,,Kent and Somerset Education Action Zone,https://www.gov.uk/government/organisations/kent-and-somerset-education-action-zone,,,,,,2004-11-30
government-organisation:OT681,,Hybu Cig Cymru - Meat Promotion Wales,https://www.gov.uk/government/organisations/hybu-cig-cymru-meat-promotion-wales,,,,,,
government-organisation:OT683,,Commission for Health Improvement,https://www.gov.uk/government/organisations/commission-for-health-improvement,,,,,,2004-03-31
government-organisation:OT684,,Bridgwater Education Action Zone,https://www.gov.uk/government/organisations/bridgwater-education-action-zone,,,,,,
government-organisation:OT686,,H.M. Inspectorate of Explosives for Northern Ireland,https://www.gov.uk/government/organisations/hm-inspectorate-of-explosives-for-northern-ireland,,,,,,
government-organisation:OT688,,Sentence Review Commissioners,https://www.gov.uk/government/organisations/sentence-review-commissioners,,,,,,
government-organisation:OT690,,Counter Fraud and Security Management Service,https://www.gov.uk/government/organisations/counter-fraud-and-security-management-service,,,,,,
government-organisation:OT691,,Family Health Services Appeal Authority,https://www.gov.uk/government/organisations/family-health-services-appeal-authority,,,,,,2015-03-31
government-organisation:OT694,,Sports Council for Northern Ireland,https://www.gov.uk/government/organisations/sports-council-for-northern-ireland,,,,,,
government-organisation:OT702,,Dingle Granby Toxteth Education Action Zone,https://www.gov.uk/government/organisations/dingle-granby-toxteth-education-action-zone,,,,,,2005-01-09
government-organisation:OT703,,National Crime Squad,https://www.gov.uk/government/organisations/national-crime-squad,,,,,,2006-04-01
government-organisation:OT708,,Wakefield Education Action Zone,https://www.gov.uk/government/organisations/wakefield-education-action-zone,,,,,,2005-01-09
government-organisation:OT709,,NHS Estates,https://www.gov.uk/government/organisations/nhs-estates,,,,,,2005-09-30
government-organisation:OT710,,Equal Opportunities Commission,https://www.gov.uk/government/organisations/equal-opportunities-commission,,,,,,2007-09-30
government-organisation:OT711,,Disability Rights Commission,https://www.gov.uk/government/organisations/disability-rights-commission,,,,,,2007-10-01
government-organisation:OT712,,National Weights and Measures Laboratory,https://www.gov.uk/government/organisations/national-weights-and-measures-laboratory,,,,,,2007-06-28
government-organisation:OT713,,Defence Estates,https://www.gov.uk/government/organisations/defence-estates,,,,,,2011-04-01
government-organisation:OT714,,Planning Service,https://www.gov.uk/government/organisations/planning-service,,,,,,
government-organisation:OT718,,UK Passport Service,https://www.gov.uk/government/organisations/uk-passport-service,,,,,,2006-04-01
government-organisation:OT719,,Millennium Commission,https://www.gov.uk/government/organisations/millennium-commission,,,,,,2006-11-30
government-organisation:OT720,,Defence Intelligence and Security Centre,https://www.gov.uk/government/organisations/defence-intelligence-and-security-centre,,,,,,
government-organisation:OT721,,Alcohol Education and Research Council,https://www.gov.uk/government/organisations/alcohol-education-and-research-council,,,,,,2011-03-28
government-organisation:OT722,,South East Sheffield Education Action Zone,https://www.gov.uk/government/organisations/south-east-sheffield-education-action-zone,,,,,,2005-04-16
government-organisation:OT723,,National Probation Service,https://www.gov.uk/government/organisations/national-probation-service,,,,,,
government-organisation:OT724,,Hearing Aid Council,https://www.gov.uk/government/organisations/hearing-aid-council,,,,,,2010-07-31
government-organisation:OT726,,Criminal Records Bureau,https://www.gov.uk/government/organisations/criminal-records-bureau,,,,,,2012-12-01
government-organisation:OT727,,Police Complaints Authority,https://www.gov.uk/government/organisations/police-complaints-authority,,,,,,2004-03-31
government-organisation:OT730,,National Radiological Protection Board,https://www.gov.uk/government/organisations/national-radiological-protection-board,,,,,,2005-04-01
government-organisation:OT731,,Arts Council of Wales,https://www.gov.uk/government/organisations/arts-council-of-wales,,,,,,
government-organisation:OT732,,Consumer Council for Postal Services,https://www.gov.uk/government/organisations/consumer-council-for-postal-services,,,,,,
government-organisation:OT733,,Gas and Electricity Consumer Council (Energywatch),https://www.gov.uk/government/organisations/gas-and-electricity-consumer-council-energywatch,,,,,,2008
government-organisation:OT734,,Sports Council for Wales,https://www.gov.uk/government/organisations/sports-council-for-wales,,,,,,
government-organisation:OT736,,Great Yarmouth Education Action Zone,https://www.gov.uk/government/organisations/great-yarmouth-education-action-zone,,,,,,2005-04-16
government-organisation:OT737,,South East England Virtual Education Action Zone,https://www.gov.uk/government/organisations/south-east-england-virtual-education-action-zone,,,,,,2005-04-02
government-organisation:OT738,,Heart of Slough Education Action Zone,https://www.gov.uk/government/organisations/heart-of-slough-education-action-zone,,,,,,
government-organisation:OT739,,Plymouth Education Action Zone,https://www.gov.uk/government/organisations/plymouth-education-action-zone,,,,,,2003-12-31
government-organisation:OT741,,General Social Care Council,https://www.gov.uk/government/organisations/general-social-care-council,,,,,,2012-09-30
government-organisation:OT742,,H.M. Customs and Excise,https://www.gov.uk/government/organisations/hm-customs-and-excise,,,,,,2005-04
government-organisation:OT743,,Community Fund,https://www.gov.uk/government/organisations/community-fund,,,,,,2006-11-30
government-organisation:OT744,,Office of the Chief Electoral Officer for Northern Ireland,https://www.gov.uk/government/organisations/office-of-the-chief-electoral-officer-for-northern-ireland,,,,,,
government-organisation:OT745,,Office of the Oversight Commissioner,https://www.gov.uk/government/organisations/office-of-the-oversight-commissioner,,,,,,2007-05-31
government-organisation:OT749,,Office of the First Minister and Deputy First Minister,https://www.gov.uk/government/organisations/office-of-the-first-minister-and-deputy-first-minister,,,,,,
government-organisation:OT751,,Staff Commission for Education and Library Boards,https://www.gov.uk/government/organisations/staff-commission-for-education-and-library-boards,,,,,,
government-organisation:OT754,,Crown Agents Holding and Realisation Board,https://www.gov.uk/government/organisations/crown-agents-holding-and-realisation-board,,,,,,2008-03-31
government-organisation:OT757,,Home-Grown Cereals Authority,https://www.gov.uk/government/organisations/home-grown-cereals-authority,,,,,,2008-03-31
government-organisation:OT758,,Northern Ireland Local Government Officers' Superannuation Committee,https://www.gov.uk/government/organisations/northern-ireland-local-government-officers-superannuation-committee,,,,,,
government-organisation:OT759,,Fire Authority for Northern Ireland,https://www.gov.uk/government/organisations/fire-authority-for-northern-ireland,,,,,,
government-organisation:OT760,,Community Development Foundation,https://www.gov.uk/government/organisations/community-development-foundation,,,,,,
government-organisation:OT761,,Northern Ireland Authority for Energy Regulation,https://www.gov.uk/government/organisations/northern-ireland-authority-for-energy-regulation,,,,,,
government-organisation:OT762,,Scottish Arts Council,https://www.gov.uk/government/organisations/scottish-arts-council,,,,,,2010-07-01
government-organisation:OT766,,Barrow Education Action Zone,https://www.gov.uk/government/organisations/barrow-education-action-zone,,,,,,
government-organisation:OT767,,Speke Garston Education Action Zone,https://www.gov.uk/government/organisations/speke-garston-education-action-zone,,,,,,2005-01-09
government-organisation:OT768,,East Cleveland Education Action Zone,https://www.gov.uk/government/organisations/east-cleveland-education-action-zone,,,,,,2005-01-09
government-organisation:OT769,,Armagh Observatory and Planetarium,https://www.gov.uk/government/organisations/armagh-observatory-and-planetarium,,,,,,
government-organisation:OT770,,Northern Ireland Social Care Council,https://www.gov.uk/government/organisations/northern-ireland-social-care-council,,,,,,
government-organisation:OT772,,Criminal Justice Inspection Northern Ireland,https://www.gov.uk/government/organisations/criminal-justice-inspection-northern-ireland,,,,,,
government-organisation:OT773,,Deepcut Review,https://www.gov.uk/government/organisations/deepcut-review,,,,,,
government-organisation:OT774,,National Blood Authority,https://www.gov.uk/government/organisations/national-blood-authority,,,,,,2005-09-30
government-organisation:OT775,,UK Transplant,https://www.gov.uk/government/organisations/uk-transplant,,,,,,2005-10-01
government-organisation:OT776,,South Bradford Education Action Zone,https://www.gov.uk/government/organisations/south-bradford-education-action-zone,,,,,,2005-01-09
government-organisation:OT777,,North Stockton Education Action Zone,https://www.gov.uk/government/organisations/north-stockton-education-action-zone,,,,,,2005-04-16
